feature,importance
cat__DOMINANT_CRIME_TYPE_SHOTS FIRED AT INHABITED DWELLING,1.2779680619926281e-05
cat__DOMINANT_PREMISE_MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,1.2621809020309153e-05
cat__DOMINANT_PREMISE_ABANDONED BUILDING ABANDONED HOUSE,1.1933439031906477e-05
cat__DOMINANT_PREMISE_NURSING/CONVALESCENT/RETIREMENT HOME,1.1853504231350497e-05
cat__DOMINANT_PREMISE_BEAUTY/BARBER SHOP,1.1189133046112927e-05
cat__DOMINANT_CRIME_TYPE_VIOLATION OF COURT ORDER,1.094890393085916e-05
cat__DOMINANT_PREMISE_GROUP HOME,1.0701423360519013e-05
cat__DOMINANT_CRIME_TYPE_SEXUAL PENETRATION W/FOREIGN OBJECT,1.0615542156632762e-05
cat__DOMINANT_PREMISE_COLLEGE/JUNIOR COLLEGE/UNIVERSITY,9.972504278190417e-06
cat__DOMINANT_PREMISE_WAREHOUSE,9.75598373543748e-06
cat__DOMINANT_CRIME_TYPE_DISTURBING THE PEACE,8.966765893404953e-06
cat__DOMINANT_PREMISE_BALCONY*,7.035948939298313e-06
"cat__DOMINANT_PREMISE_GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",6.506581056038099e-06
cat__DOMINANT_CRIME_TYPE_CHILD ANNOYING (17YRS & UNDER),6.168705470088879e-06
cat__DOMINANT_CRIME_TYPE_VIOLATION OF TEMPORARY RESTRAINING ORDER,6.0773070025073025e-06
cat__DOMINANT_CRIME_TYPE_UNAUTHORIZED COMPUTER ACCESS,5.840232838141923e-06
cat__DOMINANT_CRIME_TYPE_PICKPOCKET,5.624006882901729e-06
"cat__DOMINANT_CRIME_TYPE_THEFT, PERSON",5.349427971627555e-06
cat__DOMINANT_CRIME_TYPE_INDECENT EXPOSURE,4.78580602353531e-06
"cat__DOMINANT_CRIME_TYPE_BURGLARY FROM VEHICLE, ATTEMPTED",4.614572357473076e-06
cat__DOMINANT_PREMISE_THE BEVERLY CONNECTION,4.529752381265623e-06
cat__DOMINANT_CRIME_TYPE_RESISTING ARREST,4.17988794099779e-06
cat__DOMINANT_PREMISE_MTA - RED LINE - VERMONT/SANTA MONICA,3.873986881072498e-06
cat__DOMINANT_PREMISE_LIBRARY,3.556524614301507e-06
cat__DOMINANT_PREMISE_MTA - BLUE LINE - VERNON,3.5069901125506097e-06
"cat__DOMINANT_PREMISE_AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",3.438278935697983e-06
cat__DOMINANT_PREMISE_GOLF COURSE*,3.2264977622770218e-06
cat__DOMINANT_CRIME_TYPE_THROWING OBJECT AT MOVING VEHICLE,3.160829457862552e-06
